RowNames,EQUITY,EVENT 1,E.M.,EVENT 2,HEALTH,HIGH YIELD
2001-04-30,0.0144,0.0093,0.007,0.0102,0.0745,-0.0046
2001-05-31,0.0064,0.011,0.0263,0.0277,0.0456,0.0193
2001-06-29,0.0029,0.0103,0.0057,0.0103,0.0321,-0.0065
2001-07-31,0.0022,0.0047,-0.0313,0.0109,-0.0723,0.004
2001-08-31,0.0101,0.0155,0.0081,0.0092,-0.0133,0.0102
2001-09-28,-0.0005,-0.0154,-0.0257,-0.019,-0.0514,-0.0391
2001-10-31,0.0072,0.0135,0.0233,0.0168,0.0419,0.0198
2001-11-30,0.0082,0.0085,0.0444,0.0075,0.0447,0.0147
2001-12-31,-0.0008,0.0107,0.0282,0.0083,0.006,-0.016
2002-01-31,0.0012,0.0118,0.0262,0.0088,-0.0367,0.0171
2002-02-28,0.0003,-0.0034,0.0117,-0.0075,-0.0291,-0.0085
2002-03-29,0.008,0.0119,0.0197,0.0152,0.0354,0.019
2002-04-30,0.0053,0.0074,0.0051,0.0048,-0.0323,0.0182
2002-05-31,0.0129,0.0012,-0.0023,0.0024,-0.0204,-0.0076
2002-06-28,0.0052,-0.0293,-0.0235,-0.0308,-0.0525,-0.0362
2002-07-31,0.0184,-0.031,-0.0142,-0.0326,-0.0253,-0.0704
2002-08-30,0.0057,0.0027,0.0126,0.0096,-0.0054,-0.0004
2002-09-30,-0.0003,-0.002,-0.022,-0.0011,-0.0472,-0.0133
2002-10-31,0.0041,0.0018,0.0198,0.0012,0.0242,-0.0215
2002-11-29,0.0031,0.0257,0.0174,0.0163,0.0354,0.0367
2002-12-31,0.0082,0.0099,0.003,0.0129,-0.0267,0.0099
2003-01-31,0.0031,0.0227,-0.0039,0.0193,0.0023,0.0299
2003-02-28,-0.0006,0.0063,0.0059,0.0052,-0.0101,0.0112
2003-03-31,0.0079,0.0101,-0.0077,0.0064,0.0154,0.0119
